Filename,Lines,Samples,Bands,First_Band,Last_Band,Confidence
v1871434928_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435646_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435587_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434587_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434915_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433891_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434950_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435686_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434686_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433702_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433829_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435467_1.lbl,6,16,352,0.35,5.102,0.0654930209913
